session_id,timestamp,image_result,audio_result
84e1de26-71e5-4564-b133-4352c2f7d22d,3.000000,fear,happy
84e1de26-71e5-4564-b133-4352c2f7d22d,1009.000000,fear,happy
84e1de26-71e5-4564-b133-4352c2f7d22d,1011.000000,fear,happy
84e1de26-71e5-4564-b133-4352c2f7d22d,1125.000000,fear,happy
84e1de26-71e5-4564-b133-4352c2f7d22d,1324.000000,fear,happy
84e1de26-71e5-4564-b133-4352c2f7d22d,1351.000000,fear,happy
84e1de26-71e5-4564-b133-4352c2f7d22d,1667.000000,fear,happy
84e1de26-71e5-4564-b133-4352c2f7d22d,1936.000000,fear,neutral
2bb8f54e-9281-4c54-8868-ef355c5e277b,10.000000,surprise,fearful
2bb8f54e-9281-4c54-8868-ef355c5e277b,17.000000,surprise,fearful
2bb8f54e-9281-4c54-8868-ef355c5e277b,252.000000,surprise,fearful
2bb8f54e-9281-4c54-8868-ef355c5e277b,380.000000,surprise,fearful
2bb8f54e-9281-4c54-8868-ef355c5e277b,481.000000,surprise,fearful
2bb8f54e-9281-4c54-8868-ef355c5e277b,814.000000,surprise,fearful
2bb8f54e-9281-4c54-8868-ef355c5e277b,899.000000,angry,surprised
2bb8f54e-9281-4c54-8868-ef355c5e277b,1012.000000,angry,surprised
2bb8f54e-9281-4c54-8868-ef355c5e277b,1470.000000,angry,surprised
ed0d9eec-da7a-47f1-9d41-2e037109ed84,333.000000,surprise,neutral
ed0d9eec-da7a-47f1-9d41-2e037109ed84,343.000000,surprise,sad
ed0d9eec-da7a-47f1-9d41-2e037109ed84,483.000000,surprise,fearful
ed0d9eec-da7a-47f1-9d41-2e037109ed84,678.000000,surprise,sad
ed0d9eec-da7a-47f1-9d41-2e037109ed84,800.000000,neutral,fearful
ed0d9eec-da7a-47f1-9d41-2e037109ed84,865.000000,surprise,surprised
ed0d9eec-da7a-47f1-9d41-2e037109ed84,1290.000000,surprise,surprised
ed0d9eec-da7a-47f1-9d41-2e037109ed84,1363.000000,fear,surprised
ed0d9eec-da7a-47f1-9d41-2e037109ed84,1370.000000,fear,neutral
ed0d9eec-da7a-47f1-9d41-2e037109ed84,1413.000000,fear,calm
ed0d9eec-da7a-47f1-9d41-2e037109ed84,1471.000000,fear,calm
ed0d9eec-da7a-47f1-9d41-2e037109ed84,1562.000000,sad,neutral
ed0d9eec-da7a-47f1-9d41-2e037109ed84,1595.000000,happy,neutral
ed0d9eec-da7a-47f1-9d41-2e037109ed84,1748.000000,happy,neutral
ed0d9eec-da7a-47f1-9d41-2e037109ed84,1856.000000,happy,calm
fb3c83f2-5ecf-401b-aea6-481275af8d80,186.000000,surprise,happy
fb3c83f2-5ecf-401b-aea6-481275af8d80,236.000000,fear,sad
fb3c83f2-5ecf-401b-aea6-481275af8d80,410.000000,fear,sad
fb3c83f2-5ecf-401b-aea6-481275af8d80,537.000000,surprise,angry
fb3c83f2-5ecf-401b-aea6-481275af8d80,837.000000,surprise,angry
fb3c83f2-5ecf-401b-aea6-481275af8d80,1464.000000,surprise,happy
351585bc-98f6-405d-97a6-315867096f38,185.000000,disgust,neutral
351585bc-98f6-405d-97a6-315867096f38,251.000000,disgust,neutral
351585bc-98f6-405d-97a6-315867096f38,286.000000,disgust,calm
351585bc-98f6-405d-97a6-315867096f38,335.000000,disgust,calm
351585bc-98f6-405d-97a6-315867096f38,496.000000,disgust,calm
351585bc-98f6-405d-97a6-315867096f38,503.000000,disgust,calm
351585bc-98f6-405d-97a6-315867096f38,613.000000,disgust,fearful
351585bc-98f6-405d-97a6-315867096f38,751.000000,disgust,calm
351585bc-98f6-405d-97a6-315867096f38,788.000000,disgust,calm
351585bc-98f6-405d-97a6-315867096f38,818.000000,disgust,sad
351585bc-98f6-405d-97a6-315867096f38,970.000000,angry,calm
351585bc-98f6-405d-97a6-315867096f38,1214.000000,disgust,calm
7155b0d4-dbac-4798-904e-ec211db01f5b,293.000000,happy,fearful
7155b0d4-dbac-4798-904e-ec211db01f5b,618.000000,fear,fearful
7155b0d4-dbac-4798-904e-ec211db01f5b,794.000000,fear,fearful
7155b0d4-dbac-4798-904e-ec211db01f5b,993.000000,fear,fearful
7155b0d4-dbac-4798-904e-ec211db01f5b,1275.000000,fear,fearful
7155b0d4-dbac-4798-904e-ec211db01f5b,1300.000000,fear,fearful
7155b0d4-dbac-4798-904e-ec211db01f5b,2152.000000,fear,fearful
cbdebed8-643e-42e4-a675-2cf261d0a312,246.000000,neutral,angry
cbdebed8-643e-42e4-a675-2cf261d0a312,542.000000,neutral,angry
cbdebed8-643e-42e4-a675-2cf261d0a312,928.000000,neutral,angry
cbdebed8-643e-42e4-a675-2cf261d0a312,1144.000000,neutral,angry
cbdebed8-643e-42e4-a675-2cf261d0a312,1444.000000,neutral,sad
cbdebed8-643e-42e4-a675-2cf261d0a312,1561.000000,neutral,sad
28e0a4be-1702-4f41-84e1-1e6933ed3028,37.000000,disgust,angry
28e0a4be-1702-4f41-84e1-1e6933ed3028,185.000000,angry,angry
28e0a4be-1702-4f41-84e1-1e6933ed3028,463.000000,neutral,angry
28e0a4be-1702-4f41-84e1-1e6933ed3028,471.000000,neutral,angry
28e0a4be-1702-4f41-84e1-1e6933ed3028,785.000000,disgust,angry
28e0a4be-1702-4f41-84e1-1e6933ed3028,1052.000000,disgust,angry
28e0a4be-1702-4f41-84e1-1e6933ed3028,1213.000000,sad,happy
28e0a4be-1702-4f41-84e1-1e6933ed3028,1686.000000,sad,happy
28e0a4be-1702-4f41-84e1-1e6933ed3028,2034.000000,sad,happy
137a0033-eab0-4410-b561-a4d4767e39df,34.000000,fear,sad
137a0033-eab0-4410-b561-a4d4767e39df,106.000000,fear,sad
137a0033-eab0-4410-b561-a4d4767e39df,337.000000,fear,fearful
137a0033-eab0-4410-b561-a4d4767e39df,422.000000,surprise,neutral
137a0033-eab0-4410-b561-a4d4767e39df,425.000000,surprise,surprised
137a0033-eab0-4410-b561-a4d4767e39df,432.000000,angry,surprised
137a0033-eab0-4410-b561-a4d4767e39df,478.000000,angry,surprised
137a0033-eab0-4410-b561-a4d4767e39df,499.000000,angry,surprised
137a0033-eab0-4410-b561-a4d4767e39df,510.000000,angry,surprised
137a0033-eab0-4410-b561-a4d4767e39df,596.000000,angry,sad
137a0033-eab0-4410-b561-a4d4767e39df,863.000000,fear,sad
